1,-1,Exposition,First Subject,Sentence,Presentation,Basic idea
2,-1,,,,,
3,-1,,,,,Basic idea
4,-1,,,,,
5,-1,,,,Continuation,Fragmentation
6,-1,,,,,
7,-1,,,,,Cadence
8,-1,,,,,
9,-1,,,,,
10,-1,,,,,
11,-1,,,,Cadence repeat,Fragmentation
12,-1,,,,,
13,-1,,,,,Cadence
14,-1,,,,,
15,-1,,,,,
16,1.5,,Transition,X,X,
17,1.5,,,,X,
18,1.5,,,X,,
19,1.5,,,,,
20,1.5,,,,,
21,1.5,,,,,
22,1.5,,,,,
23,1,,Second Subject,Period,Antecedent,
24,1,,,,,
25,1,,,,,
26,1,,,,,
27,1,,,,Consequent,
28,1,,,,,
29,1,,,,,
30,1,,,,,
31,1,,,X,X,X
32,1,,,,,
33,1,,,,,X
34,1,,,,,
35,1,,,,X,
36,1,,,,,
37,1,,,,,
38,1,,,,X,X
39,1,,,,,
40,1,,,,,X
41,1,,,,,
42,1,,,,X,
43,1,,,,,
44,1,,,,,
45,1,,Codetta,X,,
46,1,,,,,
47,1,,,,,
48,1,,,X,,
49,1,,,,,
50,1,,,,,
51,1,,,X,,
52,1,,,,,
53,1,,,,,
Repeat: 1-53,,,,,,
,,,,,,
54,1,Development,X,,,
55,1,,,,,
56,1,,,,,
57,1,,,,,
58,1,,,,,
59,1,,,,,
60,1,,,,,
61,1,,,,,
62,1,,X,X,,
63,1,,,,,
64,1,,,X,,
65,1,,,,,
66,1,,,X,,
67,1,,,,,
68,1,,X,X,,
69,1,,,,,
70,1,,,X,,
71,1,,,,,
72,-1,Recapitulation,First Subject,X,X,
73,-1,,,,,
74,-1,,,,X,
75,-1,,,,,
76,-1,,,X,X,
77,-1,,,,,
78,-1,,,,X,
79,-1,,,,,
80,-1,,,X,,
81,-1,,,,,
82,-1,,,,,
83-89=16-22,,,,,,
90-120=23-53,,,,,,
Repeat: 54-120,,,,,,
