1,1,Exposition,First Subject,Theme a,Period,Antecedent,
2,1,,,,,,
3,1,,,,,,
4,1,,,,,,
5,1,,,,,Consequent,
6,1,,,,,,
7,1,,,,,,
8,1,,,,,,
9,1,,,,,Consequent repeat,
10,1,,,,,,
11,1,,,,,,
12,1,,,,,,
13,-1,,,Theme b,X,X,
14,,,,,,,
15,-1,,,,,X,
16,,,,,,,
17,-1,,,,X,X,
18,,,,,,,
19,-1,,,,,X,
20,1,,,,,,
21,1,,Transition,X,,,
22,1,,,,,,
23,1,,,Theme c,Sentence,Presentation,Basic Idea
24,1,,,,,,
25,1,,,,,,
26,1,,,,,,
27,1,,,,,,Basic Idea
28,1,,,,,,
29,1,,,,,,
30,1,,,,,,
31,1,,,,,Continuation,Fragmentation
32,1,,,,,,
33,1,,,,,,Cadence
34,1,,,,,,
35,1,,,X,X,,
36,1,,,,,,
37,1,,,,X,,
38,1,,,,,,
39,1,,,,X,,
40,1,,,,,,
41,1,,Second Subject,Theme a,X,X,
42,1,,,,,,
43,1,,,,,X,
44,1,,,,,,
45,1,,,,X,X,
46,1,,,,,,
47,1,,,,,X,
48,1,,,,,,
49,1,,,Theme d,X,X,X
50,1,,,,,,
51,1,,,,,,X
52,1,,,,,,
53,1,,,,,X,X
54,1,,,,,,
55,1,,,,,,X
56,1,,,,,,
57,1,,,,X,X,X
58,1,,,,,,
59,1,,,,,,X
60,1,,,,,,
61,1,,,,,X,X
62,1,,,,,,
63,1,,,,,,X
64,1,,,,,,
65,1,,,,Extension,X,
66,1,,,,,,
67,1,,,,,X,
68,1,,,,,,
69,1,,,Coda,X,X,
70,1,,,,,,
71,1,,,,,X,
72,1,,,,,,
73,1,,,,X,X,
74,1,,,,,,
75,1,,,,,X,
76,1,,,,,,
77,1,,,,X,X,
78,1,,,,,,
79,1,,,,,X,
Repeat: 1-79,,,,,,,
,,,,,,,
80,1,Development,X,,,,
81,1,,Theme c,Sentence,Presentation,Basic Idea,
82,1,,,,,,
83,1,,,,,,
84,1,,,,,,
85,1,,,,,Basic Idea,
86,1,,,,,,
87,1,,,,,,
88,1,,,,,,
89,1,,,,Continuation,X,
90,1,,,,,,
91,1,,,,,X,
92,1,,,,,,
93,1,,,,,X,
94,1,,,,,,
95,1,,,,Cadential Expansion,X,
96,1,,,,,,
97,1,,,,,X,
98,1,,,,,,
99,1,,,,,X,
100,1,,,,,,
101,1,,Theme a,X,X,,
102,1,,,,,,
103,1,,,,X,,
104,1,,,,,,
105,1,,,X,X,,
106,1,,,,,,
107,1,,,,X,,
108,1,,,,,,
109,1,,,X,X,,
110,1,,,,,,
111,1,,,,X,,
112,1,,,,,,
113,1,,,X,X,,
114,1,,,,,,
115,1,,,,X,,
116,1,,,,,,
117,1,,X,X,X,,
118,1,,,,,,
119,1,,,,X,,
120,1,,,,,,
121,1,,,X,X,,
122,1,,,,,,
123,1,,,,X,,
124,1,,,,,,
125,1,,,X,X,,
126,1,,,,,,
127,1,,,,X,,
128,1,,,,,,
129,1,,,X,X,,
130,1,,,,,,
131,1,,,,X,,
132,1,,,,,,
133-164=1-33,,Recapitulation,,,,,
,,,,,,,
165,1,,,X,X,,
166,1,,,,,,
167,1,,,,X,,
168,1,,,,,,
169,1,,,,X,,
170,1,,,,,,
171-198=41-68,,,,,,,
199-209=69-79,,,,,,,
Repeat: 80-209,,,,,,,
