1,-0.33,Exposition,First subject group,Theme a,Period,Antecedent,Basic idea,
2,-0.33,,,,,,,
3,-0.33,,,,,,Contrasting idea,
4,-0.33,,,,,,,
5,-0.33,,,,,Consequent,Basic idea,
6,-0.33,,,,,,,
7,-0.33,,,,,,Contrasting idea,
8,-0.33,,,,,,,
9,-0.33,,,,Period,Antecedent,Basic idea,
10,-0.33,,,,,,,
11,-0.33,,,,,,Contrasting idea,
12,-0.33,,,,,,,
13,-0.33,,,,,Consequent,Basic idea,
14,-0.33,,,,,,,
15,-0.33,,,,,,Contrasting idea,
16,1,,,Theme b,Sentence,Presentation,Basic idea,
17,1,,,,,,,
18,1,,,,,,Basic idea,
19,1,,,,,,,
20,1,,,,,Continuation,Fragmentation,X
21,1,,,,,,,
22,1,,,,,,,X
23,1,,,,,,,
24,1,,,,,,Cadence,X
25,1,,,,,,,
26,1,,,,,,,X
27,1,,,,,,,
28,-0.33,,Second subject group,Theme a,X,,,
29,-0.33,,,,,,,
30,-0.33,,,,X,,,
31,-0.33,,,,,,,
32,-0.33,,,,X,,,
33,-0.33,,,,,,,
34,1,,,Theme b,Sentence,Presentation,Basic idea,
35,1,,,,,,,
36,1,,,,,,Basic idea,
37,1,,,,,,,
38,1,,,,,Continuation,Fragmentation,
39,1,,,,,,,
40,1,,,,,,Cadence,
41,1,,,,,,,
42,-0.33,,,Theme c,Period,Antecedent,Basic idea,
43,-0.33,,,,,,,
44,-0.33,,,,,,Contrasting idea,
45,-0.33,,,,,,,
46,-0.33,,,,,Consequent,Basic idea,
47,-0.33,,,,,,,
48,-0.33,,,,,,,
49,1,,,,,Extension,X,
50,1,,,,,,,
51,1,,,,,,X,
52,1,,,,,,,
53,1,,Codetta,Theme b,X,,,
54,1,,,,,,,
55,1,,,,X,,,
56,1,,,,,,,
57,1,,,,X,,,
58,1,,,,,,,
Repeat: 1-58,,,,,,,,
,,,,,,,,
59,1,Development,Introduction,X,,,,
60,1,,,,,,,
61,1,,,X,,,,
62,1,,,,,,,
63,-0.33,,Body,Theme a,X,X,,
64,-0.33,,,,,,,
65,-0.33,,,,,X,,
66,-0.33,,,,,,,
67,-0.33,,,,,,,
68,-0.33,,,,,X,,
69,-0.33,,,,,,,
70,-0.33,,,,X,,,
71,-0.33,,,,,,,
72,-0.33,,,X,X,X,,
73,-0.33,,,,,,,
74,-0.33,,,,,X,,
75,-0.33,,,,,,,
76,1,,,,X,X,,
77,1,,,,,,,
78,1,,,,,X,,
79,1,,,,,,,
80,1,,,,,,,
81,1,,,X,X,X,,
82,1,,,,,,,
83,1,,,,,X,,
84,1,,,,,,,
85,1,,,,,,,
86,1,,,X,X,,,
87,1,,,,,,,
88,1,,,,,,,
89,1,,,,X,,,
90,1,,,,,,,
91,1,,,,,,,
92,1,,,X,X,,,
93,1,,,,,,,
94,1,,,,,,,
95,1,,,,,,,
96,1,,,,X,,,
97,1,,,,,,,
98,1,,,,,,,
99-106=1-8,,Recapitulation,,,,,,
,,,,,,,,
107,-0.33,,,,X,X,,
108,-0.33,,,,,,,
109,-0.33,,,,,,,
110,-0.33,,,,,X,,
111,-0.33,,,,,,,
112,-0.33,,,,X,,,
113,-0.33,,,,,,,
114,-0.33,,,,,,,
115,-0.33,,,,,,,
116,-0.33,,,,,,,
117,-0.33,,,,,,,
118,-0.33,,,,X,X,,
119,,,,,,,,
120,1,,,,,X,,
121,,,,,,,,
122,-0.33,,Second subject group,Theme c (sic: reverse order),Period,Antecedent,Basic idea,
123,-0.33,,,,,,,
124,-0.33,,,,,,Contrasting idea,
125,-0.33,,,,,,,
126,-0.33,,,,,Consequent,Basic idea,
127,-0.33,,,,,,,
128,-0.33,,,,,,Contrasting idea,
129,-0.33,,,,,,,
130,-0.33,,,,Period,Antecedent,Basic idea,
131,-0.33,,,,,,,
132,-0.33,,,,,,Contrasting idea,
133,-0.33,,,,,,,
134,-0.33,,,,,Consequent,Basic idea,
135,-0.33,,,,,,,
136,-0.33,,,,,,Contrasting idea,
137,-0.33,,,,,,,
138,-0.33,,,Theme a,X,,,
139,-0.33,,,,,,,
140,-0.33,,,,X,,,
141,-0.33,,,,,,,
142,-0.33,,,,X,,,
143,-0.33,,,,,,,
144,1,,,Theme b,Sentence,Presentation,Basic idea,
145,1,,,,,,,
146,1,,,,,,Basic idea,
147,1,,,,,,,
148,1,,,,,Continuation,Fragmentation,
149,1,,,,,,,
150,1,,,,,,Cadence,
151,1,,,,,,,
152,1,,,,,Extension,,
153,1,,,,,,,
154,1,,,,,,,
155-160=53-58,,,,,,,,
