1,1,Exposition,First Subject,X,X
2,1,,,,
3,1,,,,X
4,1,,,,
5,1,,,X,X
6,1,,,,
7,1,,,,X
8,1,,,,
9,1,,,X,X
10,1,,,,
11,1,,,,X
12,4,,,X,X
13,1,,,,
14,3,,,,X
15,1,,,,
16,3,,Transition,X,X
17,1,,,,
18,3,,,,X
19,1,,,,
20,1,,Second Subject,X,X
21,1,,,,
22,1,,,,X
23,1,,,,
24,1,,,,
25,3,,,,X
26,1,,,,
27,1,,,,
28,1,,,X,X
29,1,,,,
30,1,,,,
31,1,,Coda,X,X
32,1,,,,
33,1,,,,X
34,1,,,,
35,1,,,X,X
36,1,,,,
37,3,,,,X
38,1,,,,
Repeat: 1-38,,,,,
39,1,Development,X,X,
40,1,,,X,
41,1,,,X,
42,1,,,X,
43,1,,,X,
44,1,,,X,
45,1,,X,X,
46,1,,,,
47,1,,,,
48,1,,X,X,
49,1,,,,
50,1,,,X,
51,3,,,X,
52,1,,,,
53,3,,,X,
54,1,,,,
55,3,,X,X,
56,1,,,,
57,1,,,,
58-61=1-4,,Recapitulation,,,
,,,,,
62,1,,,X,X
63,1,,,,
64,1,,,,X
65,1,,,,
66,1,,,,X
67,1,,,,
68,1,,,,X
69,1,,,,
70,1,,Transition,X,X
71,1,,,,
72,1,,,,X
73,1,,,,
74,3,,Second Subject,X,X
75,1,,,,
76,3,,,,X
77,1,,,,
78,4,,,X,X
79,1,,,,
80,3,,,,X
81,1,,,,
82,1,,,X,X
83,1,,,,
84,3,,,,X
85,1,,,,
86,2,,,X,X
87,1,,,,
88,1,,,,
89,1,,,,X
90,1,,,,
91,1,,,,
92,1,,Coda,X,X
93,1,,,,
94,1,,,,X
95,1,,,,
96,1,,,,X
97,1,,,,
98,3,,,,X
99,1,,,,
100,1,,,,
Repeat: 39-100,,,,,
