1,-1,Menuet,Theme a,X,X
2,-1,,,,
3,-1,,,,X
4,-1,,,,
5,-1,,,X,X
6,-1,,,,
7,-1,,,,X
8,-1,,,,
9=1,,,,,
Repeat: 2-8,,,,,
,,,,,
9a,16,,Theme a,X,X
10,-1,,,,
11,-1,,,,X
12,-1,,,,
13,-1,,,X,X
14,-1,,,,
15,-1,,,,X
16,-1,,,,
,,,,,
Repeat: 9-16,,,,,
,,,,,
17,-1,Trio,X,X,X
18,-1,,,,
19,-1,,,,X
20,-1,,,,
21,-1,,,X,X
22,-1,,,,
23,-1,,,,X
24,-1,,,,
Repeat: 17-24,,,,,
,,,,,
25,-1,,X,X,
26,-1,,,,
27,-1,,,X,
28,-1,,,,
29,-1,,,,
30,-1,,,,
31,-1,,X,X,X
32,-1,,,,
33,-1,,,,X
34,-1,,,,
35,-1,,,X,X
36,-1,,,,
37,-1,,,,X
38,-1,,,,
Repeat: 25-38,,,,,
,,,,,
39-54=1-16,,Menuet,,,
,,,,,
55,-1,Coda,X,X,
56,-1,,,,
57,-1,,,X,
58,-1,,,,
59,-1,,X,,
60,-1,,,,
61,-1,,,,
62,,,,,
