1,1,Theme,A,X,X
3,1,,,,X
5,1,,,X,
Repeat: 1-8,,,,,
,,,,,
9,1,,B,X,
13,1,,,X,
Repeat: 9-16,,,,,
,,,,,
17-24=1-8,,Variation 1,,,
25=17,,,,,
Repeat: 17-24,,,,,
,,,,,
25a-32=9-16,,,,,
33=25a,,,,,
Repeat: 26-32,,,,,
,,,,,
33,1,Variation 2,A,X,
41,1,,,X,
49,1,,B,X,
57,1,,,X,
65,1,Variation 3,A,X,
73,1,,,X,
81,1,,B,X,
89,1,,,X,
,,,,,
97,1,Variation 4,,,
98,1,,,,
99,1,,,,
100,1,,,,
101,1,,,,
102,1,,,,
103,1,,,,
104,1,,,,
105=97,,,,,
Repeat: 98-104,,,,,
105a,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,X,,
110,,,,,
111,,,X,,
Repeat: 111-118,1,,,,
113,1,Variation 5,X,X,
121,1,,,X,
129,1,,X,X,
137,1,,,X,
145,1,,,X,
,,,,,
153-160=1-8,1,Variation 6,X,,
161,1,,X,,
169,1,,X,,
176,1,,X,,
185,1,,X,,
,,,,,
188-203=1-16,,,,,
