1,1,Exposition,First Subject Group,Theme a,Sentence,Presentation,Basic idea
3,1,,,,,,Basic idea
5,1,,,,,Continuation,Fragmentation
7,1,,,,,,Cadence
9,1,,,,,Continuation repeat,
13,1,,Transition,Theme b,,,
17,1,,,,,,
21,1,,,Theme c,,,
23,1,,,,,,
27,1,,Second Subject Group,Theme d,,,
33,1,,,,,,
39,1,,,Theme e,,,
41,1,,,,,,
43,1,,,,,,
47,1,,,Theme f,,,
51,1,,,,,,
55,1,,,,,,
59,1,,,,,,
61,1,,,Theme b,,,
65,1,,,,,,
73,1,,,Theme g,,,
77,3,,Codetta,Theme h,,,
79,3,,,,,,
81,3,,,,,,
85,1,,,Theme i,,,
87,1,,,,,,
Repeat: 1-90,,,,,,,
92,3,Development,Introduction,Theme h,,,
94,3,,,,,,
97,1,,Body,Theme j,,,
101,1,,,,,,
105,1,,,,,,
109,1,,Re-transition,Theme a,,,
111,1,,,,,,
113,1,,,,,,
117,1,,,,,,
121,1,,,,,,
129,3,,,,,,
131,3,,,,,,
133,3,,,,,,
139-146=1-8,,Recapitulation,,,,,
,,,,,,,
147,1,,Transition,Theme k,,,
149,1,,,,,,
151,1,,,,,,
155-160=21-26,,,,,,,
161-217=27-83,,,,,,,
,,,,,,,
218,1,,,Theme j,,,
232,X (Cadenza),,,Theme l,,,
233,1,,,Theme a,,,
235,1,,,,,,
237,1,,,Theme m,,,
249,1,,,Theme n,,,
,,,,,,,
252-257=85-90,,,,,,,
