1,-0.5,A,Theme a,,
9,1,,Theme b,,
17-24=9-16,,,,,
,,,,,
25,-0.5,Transition,Theme a,,
36,-0.5,B,Theme c,,
56,1,,Theme d,X,
60,1,,,X,
68,1,,,X,
82-97=1-16,,,,,
,,,,,
98,1,Development,Introduction,Theme b,
106,1,,Body,Theme a,
121,1,,,Theme b,
129,1,,,Theme c,
131,1,,,Theme a,
139,1,,,Theme c,X
152,1,,,,X
155,1,,,X,
,,,,,
167-190=1-24,,,,,
191,1,Transition,,,
,,,,,
,,,,,
204-239=36-71,,,,,
240,1,,,X,
246,1,,,X,
256,1,,Movt 3 theme,X,
260,-1.5,,,X,
266,1,Presto,Theme a,X,
270,1,,,X,
274,1,,,X,
278,1,,Theme c,X,
285,,,,,
