1,1,Andante,A,Period,Antecedent,X
2,1,,,,,
3,1,,,,,X
4,1,,,,,
5,1,,,,Consequent,X
6,1,,,,,
7,1,,,,,X
8,1,,,,,
Repeat: 1-8,,,,,,
9,1,,B,X,,
10,1,,,,,
11,1,,,X,,
12,1,,,,,
13,1,,,X,,
14,1,,,,,
15,1,,,X,,
16,1,,,,,
17,1,,A,Sentence,Presentation,
18,1,,,,,
19,1,,,,Continuation,Fragmentation
20,1,,,,,
21,1,,,,,Cadence
22,1,,,,,
Repeat: 9-22,,,,,,
23,1,Trio,A,X,,
24,1,,,,,
25,1,,,,,
26,1,,,,,
27,1,,,X,,
28,1,,,,,
29,1,,,,,
30,1,,,,,
Repeat: 23-30,,,,,,
31,1,,B,,,
32,1,,,,,
33,1,,,,,
34,1,,,,,
35,1,,A,,,
36,1,,,,,
37,1,,,,,
38,1,,,,,
Repeat: 31-38,,,,,,
39-46=1-8,,Andante (embellished),,,,
47-54=1-8,,,,,,
55-68=9-22,,,,,,
69-82=9-22,,,,,,
83,1,Coda,Andante theme,X,,
84,1,,,,,
85,1,,,,,
86,1,,,,,
87,1,,,X,,
88,1,,,,,
89,1,,Trio theme,X,,
90,1,,,,,
91,1,,,X,,
92,1,,,,,
93,1,,,,,
94,1,,,X,,
95,1,,,,,
96,1,,,X,,
97,1,,,,,
98,1,,,X,,
99,1,,,,,
