1,-1,Arietta,A,Theme a,Sentence,X
5,1,,,,,X
Repeat: 1-8,,,,,,
,,,,,,
9,-1,,B,Theme b,Sentence,X
13,1,,,,,X
Repeat: 9-16,,,,,,
,,,,,,
,,,,,,
17-24=1-8,,Variation 1,,,,
Repeat: 17-24,,,,,,
,,,,,,
26-33=9-16,,,,,,
Repeat: 26-33,,,,,,
,,,,,,
33a-48=1-16,,Variation 2,,,,
,,,,,,
49-64=1-16,,Variation 3,,,,
,,,,,,
65,1,Variation 4,A,,,
73,1,,B,,,
81,1,,A,,,
89,1,,B,X,,
96,1,,,X,,
100,1,,,X,,
103,1,,,X,,
,,,,,,
106,1,Coda,X,,,
120,1,,X,,,
131,-1,,Arietta,A,X,
147,-1,,,,X,
152,-1,,,,X,
162,-1,,,A,X,
168,-1,,,,X,
172,-1,,,,X,
177,,,,,,
