1,1,Scherzo,A,Period,Antecedent,X
2,1,,,,,
3,1,,,,,
4,1,,,,,
5,1,,,,,X
6,1,,,,,
7,1,,,,,
8,1,,,,,
9,1,,,,Consequent,X
10,1,,,,,
11,1,,,,,
12,1,,,,,
13,1,,,,,X
14,1,,,,,
15,1,,,,,
16,1,,,,,
17,1,,,Period,Antecedent,X
18,1,,,,,
19,1,,,,,
20,1,,,,,
21,1,,,,,X
22,1,,,,,
23,1,,,,,
24,1,,,,,
25,1,,,,Consequent,X
26,1,,,,,
27,1,,,,,
28,1,,,,,
29,1,,,,,X
30,1,,,,,
31,1,,,,,
32,1,,,,,
33,1,,B,X,X,
34,1,,,,,
35,1,,,,,
36,1,,,,,
37,1,,,,X,
38,1,,,,,
39,1,,,,,
40,1,,,,,
41,1,,,,X,
42,1,,,,,
43,1,,,,,
44,1,,,,,
45,1,,,,X,
46,1,,,,,
47,1,,,,,
48,1,,,,,
49,1,,A,Period,Antecedent,X
50,1,,,,,
51,1,,,,,
52,1,,,,,
53,1,,,,,X
54,1,,,,,
55,1,,,,,
56,1,,,,,
57,1,,,,Consequent,X
58,1,,,,,
59,1,,,,,
60,1,,,,,
61,1,,,,,X
62,1,,,,,
63,1,,,,,
64,1,,,,,
65,1,,,Codetta,X,
66,1,,,,,
67,1,,,,,
68,1,,,,,
69,1,,,,X,
70,1,,,,,
Repeat: 33-70,,,,,,
71,1,Trio,A,X,,
75,1,,,X,,
Repeat: 71-78,,,,,,
79,1,,B,,,
80,1,,,,,
81,1,,,,,X
82,1,,,,,
83,1,,,X,,
84,1,,,,,
85,1,,,,,
86,1,,,,,
87,1,,,X,,
Repeat: 1-70,,Scherzo da Capo,,,,
