1,1,Introduction,,,
5,1,Exposition,First Subject Group,Theme a,X
,,,,,
13,1,,,,X
,,,,,
21,1,,,Theme b,
29-36=13-20,,,,,
,,,,,
37,1,,Transition,X,
53,1,,,X,
63,1,,Second Subject Group,X,
,,,,,
70,,,,X,
,,,,,
78,1,,,X,
Repeat: 5-85,,,,,
,,,,,
86,1,Development,Theme c,,
94,1,,,X,
96,1,,Fugue,,
,,,,,
204-211=5-12,,Recapitulation,,,
212-215=13-16,,,,,
216,,,X,,
,,,,,
224-241=37-52,,,,,
242-274=53-85,,,,,
275,1,Coda,X,,
286,1,,X,,
290,1,,X,,
297,1,,X,X,
311,1,,,X,
320,1,,X,,
330,1,,Tempo 1,,
332,,,,,
