1,1,Exposition,First Subject,Theme a,Sentence,Presentation,Basic Idea
2,1,,,,,,
3,1,,,,,,Basic Idea
4,1,,,,,,
5,1,,,,,,Basic Idea
6,1,,,,,,
7,1,,,,,Continuation,Fragmentation
8,1,,,,,,Fragmentation
9,1,,,,,Extended Cadence,
10,1,,,,,,
11,1,,,,,,
12,1,,,,,,
13,1,,,,,,
14,1,,,,,,
15,1,,Transition,Theme a,,,
16,1,,,,,,
17,1,,,,,,
18,1,,,,,,
19,1,,,,,,
20,1,,,,,,
21,1,,Second Subject,Theme b,X,,
22,1,,,,,,
23,1,,,,,,
24,1,,,,,,
25,1,,,,X,,
26,1,,,,,,
27,1,,,,,,
28,1,,,,,,
29,1,,,,X,,
30,1,,,,,,
31,1,,,,,,
32,1,,,,,,
33,1,,,,X,,
34,1,,,,,,
35,1,,,,,,
36,1,,,,,,
37,1,,,,X,,
38,1,,,,,,
39,1,,,,,,
40,1,,,,,,
41,1,,,,,,
42,1,,,,,,
43,1,,,Theme c,X,X,
44,1,,,,,,
45,1,,,,,X,
46,1,,,,,,
47,1,,,,,X,
48,1,,,,,,
49,1,,,,X,X,
50,1,,,,,,
51,1,,,,,X,
52,1,,,,,,
53,1,,,,,X,
54,1,,,,,,
55,1,,,,X,,
56,1,,,,,,
57,1,,,Theme b,X,X,
58,1,,,,,,
59,1,,,,,X,
60,1,,,,,,
61,1,,,,,X,
62,1,,,,,,
63,1,,,,X,,
64,1,,,,,,
65=1,,,,,,,
Repeat: 2-64,,,,,,,
65a,1,Development,Theme a,Sentence,Presentation,,
66,1,,,,,,
67,1,,,,,,
68,1,,,,,,
69,1,,,,Continuation,,
70,1,,,,,,
71,1,,Theme b,X,,,
72,1,,,,,,
73,1,,,,,,
74,1,,,,,,
75,1,,,X,,,
76,1,,,,,,
77,1,,,,,,
78,1,,,,,,
79,1,,,X,,,
80,1,,,,,,
81,1,,,,,,
82,1,,,,,,
83,1,,,X,X,,
84,1,,,,,,
85,1,,,,X,,
86,1,,,,,,
87,1,,Theme d,X,,,
88,1,,,,,,
89,1,,,X,,,
90,1,,,,,,
91,1,,,X,,,
92,1,,,,,,
93,1,,,X,,,
94,1,,,,,,
95,1,,,X,,,
96,1,,,,,,
97,1,,,X,,,
98,1,,,,,,
99,1,,,,,,
100,1,,,X,,,
101,1,,,,,,
,,,,,,,
102-115=1-14,,Recapitulation,,,,,
116-157=21-62,,,,,,,
,,,,,,,
157,1,,,,X,,
158,1,,,,,,
159,1,Coda,Theme a,X,,,
160,1,,,,,,
161,1,,,X,,,
162,1,,,,,,
163,1,,,,,,
164,1,,,,,,
165,1,,,,,,
166,1,,,,,,
167,1,,Theme b,X,,,
168,1,,,,,,
169,1,,,,,,
170,1,,,,,,
171,1,,,X,,,
172,1,,,,,,
173,1,,,,,,
174,1,,,,,,
175,1,,,,,,
176,1,,,,,,
177,1,,,X,,,
178,1,,,,,,
179,1,,,,,,
180,1,,,,,,
181,1,,,,,,
182,1,,,,,,
183,1,,,,,,
184,1,,,,,,
185,1,,,,,,
186,1,,,,,,
187,1,,,,,,
188,1,,,,,,
189,1,,,,,,
190,1,,,X,,,
191,1,,,,,,
192,1,,,,,,
193,1,,,,,,
194,1,,,,,,
195,1,,,,,,
196,1,,,,,,
197,1,,,,,,
198,1,,,,,,
199,1,,,,,,
200,1,,,,,,
