1,1,Exposition,First Subject Group,Theme a,X,X
2,1,,,,,
3,1,,,,,
4,1,,,,,
5,1,,,,,X
6,1,,,,,
7,1,,,,,
8,1,,,,,
9,1,,,,X,X
10,1,,,,,
11,1,,,,,
12,1,,,,,
13,1,,,,,X
14,1,,,,,
15,1,,,,,
16,1,,,,,
17,1,,,,X,
18,1,,,,,
19,1,,,,,
20,1,,,,,
21,1,,,,,
22,1,,,,,
23,1,,,,,
24,1,,,,,
25,1,,,,,
26,1,,,,,
27,1,,Transition,Theme b,X,
28,1,,,,,
29,1,,,,,
30,1,,,,,
31,1,,,,X,
32,1,,,,,
33,1,,,,,
34,1,,,,X,
35,1,,,,,
36,1,,,,,
37,1,,,,,
38,1,,,,,
39,1,,,Dominant preparation,,
40,1,,,,,
41,1,,,,,
42,1,,,,,
43,1,,,,,
44,1,,,,,
45,1,,Second subject group,Theme c,,
46,1,,,,,
47,1,,,,,
48,1,,,,,
49,1,,,,,
50,1,,,,,
51,1,,,,,
52,1,,,,,
53,1,,,,,
54,1,,,X,,
55,1,,,,,
56,1,,,,,
57,1,,,X,,
58,1,,,,,
59,1,,,,,
60,1,,,,,
61,1,,,,,
62,1,,,,,
63,1,,,X,,
64,1,,,,,
65,1,,,,,
66,1,,,,,
67,1,,,,,
68,1,,,,,
69,1,Development,Theme a,,,
70,1,,,,,
71,1,,,,,
72,1,,,,,
73,1,,X,,,
74,1,,,,,
75,1,,,,,
76,1,,,,,
77,1,,X,,,
78,1,,,,,
79,1,,,,,
80,1,,,,,
81,1,,,,,
82,1,,,,,
83,1,,,,,
84,1,,,,,
85,1,,,,,
86,1,,,,,
87,1,,,,,
88-112=2-26,,Recapitulation,,,,
,,,,,,
113-119=27-33,,,,,,
120,1,,X,,,
,,,,,,
130-152=45-67,,,,,,
,,,,,,
145,1,,X,X,,
146,1,,,,,
147,1,,,,,
148,1,,,X,,
149,1,,,,,
150,1,,,,,
151,1,,,,,
152,1,,,,,
153,1,,,,,
154,1,Coda,X,,,
155,1,,,,,
156,1,,,,,
157,1,,,,,
158,1,,X,,,
159,1,,,,,
160,1,,,,,
161,1,,,,,
162,1,,,,,
163,1,,,,,
164,1,,,,,
165,1,,,,,
166,1,,X,,,
167,1,,,,,
168,1,,,,,
169,1,,,,,
170,1,,,,,
171,1,,,,,
172,1,,,,,
173,1,,,,,
174,1,,X,,,
175,1,,,,,
176,1,,,,,
177,1,,,,,
178,1,,,,,
179,1,,,,,
180,1,,X,,,
181,1,,,,,
182,1,,,,,
183,1,,,,,
184,1,,,,,
185,1,,,,,
186,1,,,,,
187,,,,,,
