1,-0.5,A,Theme a,X
5,-0.5,,,X
9,-0.5,,Theme b,X
13,-0.5,,,X
17,-0.5,,Theme b,X
25-32=1-8,,,,X
,,,,
33,1,Transition,Theme c,
41,1,B,Theme d,X
43,1,,,X
45,1,,,X
49,1,,X,
60,1,,Theme e,
,,,,
70-101=1-32,,,,
,,,,
102,1,Transition,Theme f,X
106,1,,,X
110,1,,,X
114,1,C,Theme e,X
130,1,,X,
,,,,
140-171=1-32,,,,
,,,,
172,1,Transition,,
,,,,
181-207=41-67,,,,
,,,,
208,1,,X,
212,1,,X,
222,1,,X,
,,,,
230-251=1-22,,,,
,,,,
252,1,Coda,X,X
256,,,,X
262,1,,Theme e,
266,1,,X,X
276,1,,,X
288,1,,X,
290,1,,,
