1,-0.33,A,Theme a,X,
5,-0.33,,,X,
9,-1,,Theme b,X,
13,-1,,,,
19,1,Transition,Theme a,,
29,1,B,Theme c,X,X
35,1,,,,X
39,1,,,X,X
45,1,,,,X
55,1,,,X,
69-76=1-8,,,,,
77,1,Transition,Theme a,X,
81,,,,X,
85,1,,,X,
96,1,,,X,
103,1,C,Theme d,X,
111,1,,,X,
119,1,,Theme e,X,X
123,1,,,,X
135,1,,,X,X
139,1,,,,X
143,1,,Theme d,X,X
147,1,,,,X
151,1,,,X,X
155,1,,,,X
167,1,,Theme e,X,X
171,1,,,,X
175,1,,,X,X
179,,,,,X
181-188=1-8,,,,,
189-196=1-8,,,,,
197-206=9-18,,,,,
207-216=19-28,,,,,
217,1,B,Theme c,X,X
235,1,,,,X
245-258=55-68,,,,,
259,1,Coda,Theme a,X,X
263,1,,,,X
269,1,,,X,X
275,1,,,,X
281,1,,,X,X
285,1,,,,X
289,1,,,X,X
293,1,,,,X
298,1,,,X,X
302,1,,,,X
306,1,,,X,X
310,1,,,,X
