1,1,Exposition,Theme a,X,
5,1,,,X,
9,1,,Theme b,X,
13,1,,,X,
,,,,,
Repeat: 1-20,,,,,
21,1,Development,Theme a,X,
25,1,,,X,
29,1,,Theme b,X,X
33,1,,,,X
37,1,,,X,X
41,1,,,,X
45,1,,Theme a,X,
49,1,,,X,
53,1,,,X,
57,1,,,X,
61,1,Exposition,Theme b,X,
75,1,,X,X,
83,1,,X,X,
,,,,,
,,,,,
99,1,,False recap,Theme a,
115,1,Recapitulation,Theme a,X,
,,,,,
123,1,,Theme b,X,
,,,,,
134,1,,X,X,
153,1,,X,X,
,,,,,
,,,,,
Repeat: 23-161,,,,,
,,,,,
162a,1,Coda (Piu allegro),X,,
170,1,,X,,
180,1,,X,,
188,,,,,
