0,4,A,Compound Period,Antecedent Sentence,Basic Idea
1,4,,,,Basic Idea
2,4,,,,Fragmentation
3,1,,,,
4,4,,,Consequent Sentence,Basic Idea
5,1,,,,Basic Idea
6,1,,,,Fragmentation
7,1,,,,Cadence
8,1,,,,Cadential Extension
9,4,B,Sentence,Basic Idea,
10,1,,,,
11,4,,,Basic Idea,
12,1,,,,
13,1,,,Basic Idea,
14,1,,,,
15,1,,,Fragmentation,
16,1,,,Cadence,
17,1,A',Compound Period,Antecedent Period,Antecedent
18,1,,,,
19,1,,,,Consequent
20,1,,,,
21,1,,,Consequent Period,Antecedent
22,1,,,,
23,1,,,,Consequent
24,4,A,Compound Period,Antecedent Sentence,Basic Idea
25,4,,,,Basic Idea
26,4,,,,Fragmentation
27,1,,,,
28,4,,,Consequent Sentence,Basic Idea
29,1,,,,Basic Idea
30,1,,,,Fragmentation
31,1,,,,Cadence
32,1,,,,Cadential Extension
33,1,,Connecting Transition,,
34,1,,,,
35,1,C,Sentence,Basic Idea,
36,1,,,,
37,1,,,Basic Idea,
38,1,,,,
39,1,,,Basic Idea,
40,1,,,,
41,1,,,Fragmentation,
42,1,,,,
43,1,,,,
44,1,,,,
45,4,,Sentence,Basic Idea,
46,4,,,Basic Idea,
47,4,,,Fragmentation,
48,4,,,Cadential Extension,
49,1,,,,
50,1,,,,
51,1,,,,
52,1,,,,
53,1,,,,
54,1,,,,
55,4,A,Compound Period,Antecedent Sentence,Basic Idea
56,4,,,,Basic Idea
57,4,,,,Fragmentation
58,1,,,,
59,4,,,Consequent Sentence,Basic Idea
60,1,,,,Basic Idea
61,1,,,,Fragmentation
62,1,,,,Cadence
63,1,,,,Cadential Extension
64,4,B',Period,Antecedent,
65,1,,,,
66,4,,,Consequent,
67,1,,,,
68,4,,Sentence,Basic Idea,
69,1,,,,
70,4,,,Basic Idea,
71,3,,,Fragmentation,
72,1,,,,
73,4,,Sentence,Cadence / Basic Idea,
74,1,,,,
75,4,,,Basic Idea,
76,1,,,,
77,1,,,Fragmentation,
78,1,,,,
79,1,,,,
80,1,,,Cadence,
81,1,,,,
82,1,,,,
83,4,A,Compound Period,Antecedent Sentence,Basic Idea
84,4,,,,Basic Idea
85,4,,,,Fragmentation
86,1,,,,
87,4,,,Consequent Sentence,Basic Idea
88,1,,,,Basic Idea
89,1,,,,Fragmentation
90,1,,,,Cadence
91,1,,,,Cadential Extension
92,2,Coda,Compound Sentence,Period,Antecedent
93,1,,,,Consequent
94,1,,,Period,Antecedent
95,1,,,,Consequent
96,1,,,Fragmentation,
97,1,,,,
98,1,,,Cadence,
99,4,,Period,Antecedent,
100,4,,,Consequent,
101,4,Coda,Compound Period,Antecedent Period,Antecedent
102,4,,,,Consequent
103,4,,,Consequent Period,Antecedent
104,4,,,,Consequent
105,1,,,,Cadential Extension
106,1,,Sentence,Basic Idea,
107,1,,,,
108,1,,,Basic Idea,
109,1,,,,
110,1,,,Fragmentation,
111,1,,,,
112,1,,,Cadence,
113,1,,,,
