1,1,Exposition,First Subject Group,Theme a,Sentence,Presentation,Basic idea,X
2,1,,,,,,,
3,1,,,,,,,
4,1,,,,,,,X
5,1,,,,,,,
6,1,,,,,,,X
7,1,,,,,,,
8,1,,,,,,,
9,1,,,,,,,
10,1,,,,,,,
11,1,,,,,,Basic idea,
12,1,,,,,,,
13,1,,,,,,,
14,1,,,,,,,
15,1,,,,,,,
16,1,,,,,,,
17,1,,,,,,,
18,1,,,,,,,
19,1,,,,,,,
20,1,,,,,,,
21,1,,,,,Continuation,Fragmentation,X
22,1,,,,,,,
23,1,,,,,,,
24,1,,,,,,,
25,1,,,,,,,
26,1,,,,,,,
27,1,,,,,,,X
28,1,,,,,,,
29,1,,,,,,Fragmentation,X
30,1,,,,,,,
31,1,,,,,,,
32,1,,,,,,,
33,1,,,,,,,
34,1,,,,,,,
35,1,,,,,,,X
36,1,,,,,,,
37,1,,,,,,Cadence,
38,1,,,,,,,
39,1,,,,,,,
40,1,,Transition,Theme b,Period,Antecedent,X,
41,1,,,,,,,
42,1,,,,,,X,
43,1,,,,,,,
44,1,,,,,Consesequent,X,
45,1,,,,,,,
46,1,,,,,,X,
47,1,,,,,,,
48-55=40-47,,,,,,,,
56,1,,,,,,X,
57,1,,,,,,,
58,1,,,,,,X,
59,1,,,,,,,
60,1,,,,,,X,
61,1,,,,,,,
62,1,,,,,,,
63,1,,,Theme c,X,X,,
64,1,,,,,,,
65,1,,,,,,,
66,1,,,,,,,
67,1,,,,,X,,
68,1,,,,,,,
69,1,,,,,,,
70,1,,,,,,,
71,1,,,,X,X,,
72,1,,,,,,,
73,1,,,,,,,
74,1,,,,,,,
75,1,,,,,X,,
76,1,,,,,,,
77,1,,,,,Theme d,,
78,1,,,,,,,
79,1,,,Theme d,X,X,,
80,1,,,,,,,
81,1,,,,,X,,
82,1,,,,,,,
83,1,,,,X,X,,
84,1,,,,,,,
85,1,,,,,X,,
86,1,,,,,,,
87,1,,,,X,X,,
88,1,,,,,,,
89,1,,,,,X,,
90,1,,,,,,,
91,1,,Second Subject Group,Theme d,X,X,,
92,1,,,,,,,
93,1,,,,,X,,
94,1,,,,,,,
95,1,,,,X,X,,
96,1,,,,,,,
97,1,,,,,X,,
98,1,,,,,,,
99,1,,,,X,X,,
100,1,,,,,,,
101,1,,,,,X,,
102,1,,,,,,,
103,1,,,Theme e,X,X,,
104,1,,,,,,,
105,1,,,,,X,,
106,1,,,,,,,
107,1,,,,,X,,
108,1,,,,,,,
109,1,,,Theme d,X,,,
110,1,,,,,,,
