1,1,A,X
2,1,,
3,1,,
4,1,,
5,-1.5,,X
6,1,,
7,1,,
8,1,,
9,-1.5,B,X
10,1,,
11,1,,
12,1,,
13,1,,X
14,1,,
15,1,,
16,1,,
,,,
17-24=1-8,,,
25,1,,X
26,,,
