1,-1,A,Period,Antecedent,
7,-1,,,Consequent,
13,-1,,Sentence,Presentation,Basic Idea
15,-1,,,,Basic Idea
17,-1,,,Continuaiton,
21-28=13-20,,,,,
29,-1,B / transition,X,,
33,-1,,X,X,
42,-0.5,,X,,
48,1,,X,X,
50,1,,,X,
53-80=1-28,,,,,
81,-1,C,X,X,
85,-1,,,X,
Repeat: 81-88,,,,,
89,-1,,X,X,
91,-1,,,X,
93,-1,,,X,
95,-1,,,X,
97,-1,,X,,
101-128=1-28,,,,,
129,-1,,X,X,
131,-1,,,X,
133,-1,,X,X,
135,-1,,,X,
137,-1,,,X,
139-153=33-47,,,,,
154,1,Coda,X,X,
155,,,,,
156,,,,X,
157,,,,,
158,,,X,X,
159,,,,,
160,,,,X,
161,,,,,
162,,,X,X,
163,,,,,
164,,,,X,
165,,,,,
166,,,X,X,
167,,,,,
168,,,,X,
169,,,,,
