1,-0.25,Introduction,Theme a,X,X
2,,,,,
3,,,,X,
4,,,,,
5,,,,X,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
11,0.5,,Theme b,X,
12,,,,,
13,,,,X,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,-0.5,Exposition (Allegro con brio ed appassionato),First Subject Group,Theme c,X
22,,,,,
23,,,,,
24,-0.5,,,Theme d,X
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,1,,,Theme c,X
30,,,,,
31,,,,,
31,,,,,
32,-0.5,,,,X
33,,,,,
34,,,,,
35,3,,Transition,Theme c,X
36,,,,,
37,,,,,
38,,,,,
39,,,,,
39,1,,,,X
40,,,,,
41,,,,,
42,,,,,
43,,,,,
43,3,,,,X
44,,,,,
45,,,,,
48,,,,Theme e,
50,1,,Second Subject Group,Theme f,X
52,3,,,,X
55,,,,,
56,-0.5,,,Theme g,
57,,,,,
58,,,,,
58,1,,,Theme c,X
59,,,,,
60,1,,,,X
61,,,,,
61,3,,,,X
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
Repeat: 19-69,,,,,
,,,,,
70,1,Development,Theme c,X,
72,1.5,,,X,
76,1,,,X,
78,1,,,X,
80,1,,,X,
82,1,,,X,
86,1,,Re-transition,Theme c,
92,1,Recapitulation,First Subject Group,Theme c,X
96,-0.5,,,,X
100,1,,Transition,Theme c,X
104,2,,,,X
108,1,,,,X
114,1,,,Theme e,
116,1,,Second Subject Group,Theme f,X
118,2,,,,X
122,-0.25,,,,X
124,1,,,,X
127,1,,,,X
132,-0.5,Coda,Theme c,X,
135,1,,,X,
138,2,,,X,
146,1,,,X,
150,1,,,X,
152,2,,,X,
154,2,,,X,
158,,,,,
